Donor	Plate	Protocol	Study	Sample
D28	2_5	CELseq2	GSE85241	D28.2_5
D28	2_6	CELseq2	GSE85241	D28.2_6
D28	2_7	CELseq2	GSE85241	D28.2_7
D28	2_8	CELseq2	GSE85241	D28.2_8
D28	2_9	CELseq2	GSE85241	D28.2_9
D28	2_10	CELseq2	GSE85241	D28.2_10
D28	2_11	CELseq2	GSE85241	D28.2_11
D28	2_12	CELseq2	GSE85241	D28.2_12
D28	2_13	CELseq2	GSE85241	D28.2_13
D28	2_14	CELseq2	GSE85241	D28.2_14
D28	2_15	CELseq2	GSE85241	D28.2_15
D28	2_16	CELseq2	GSE85241	D28.2_16
D28	2_17	CELseq2	GSE85241	D28.2_17
D28	2_18	CELseq2	GSE85241	D28.2_18
D28	2_19	CELseq2	GSE85241	D28.2_19
D28	2_20	CELseq2	GSE85241	D28.2_20
D28	2_21	CELseq2	GSE85241	D28.2_21
D28	2_22	CELseq2	GSE85241	D28.2_22
D28	2_23	CELseq2	GSE85241	D28.2_23
D28	2_24	CELseq2	GSE85241	D28.2_24
D28	2_25	CELseq2	GSE85241	D28.2_25
D28	2_26	CELseq2	GSE85241	D28.2_26
D28	2_27	CELseq2	GSE85241	D28.2_27
D28	2_28	CELseq2	GSE85241	D28.2_28
D28	2_29	CELseq2	GSE85241	D28.2_29
D28	2_30	CELseq2	GSE85241	D28.2_30
D28	2_31	CELseq2	GSE85241	D28.2_31
D28	2_32	CELseq2	GSE85241	D28.2_32
D28	2_33	CELseq2	GSE85241	D28.2_33
D28	2_34	CELseq2	GSE85241	D28.2_34
D28	2_35	CELseq2	GSE85241	D28.2_35
D28	2_36	CELseq2	GSE85241	D28.2_36
D28	2_37	CELseq2	GSE85241	D28.2_37
D28	2_38	CELseq2	GSE85241	D28.2_38
D28	2_39	CELseq2	GSE85241	D28.2_39
D28	2_40	CELseq2	GSE85241	D28.2_40
D28	2_41	CELseq2	GSE85241	D28.2_41
D28	2_42	CELseq2	GSE85241	D28.2_42
D28	2_43	CELseq2	GSE85241	D28.2_43
D28	2_44	CELseq2	GSE85241	D28.2_44
D28	2_45	CELseq2	GSE85241	D28.2_45
D28	2_46	CELseq2	GSE85241	D28.2_46
D28	2_47	CELseq2	GSE85241	D28.2_47
D28	2_48	CELseq2	GSE85241	D28.2_48
D28	2_49	CELseq2	GSE85241	D28.2_49
D28	2_50	CELseq2	GSE85241	D28.2_50
D28	2_51	CELseq2	GSE85241	D28.2_51
D28	2_52	CELseq2	GSE85241	D28.2_52
D28	2_53	CELseq2	GSE85241	D28.2_53
D28	2_54	CELseq2	GSE85241	D28.2_54
D28	2_55	CELseq2	GSE85241	D28.2_55
D28	2_56	CELseq2	GSE85241	D28.2_56
D28	2_57	CELseq2	GSE85241	D28.2_57
D28	2_58	CELseq2	GSE85241	D28.2_58
D28	2_59	CELseq2	GSE85241	D28.2_59
D28	2_60	CELseq2	GSE85241	D28.2_60
D28	2_61	CELseq2	GSE85241	D28.2_61
D28	2_62	CELseq2	GSE85241	D28.2_62
D28	2_63	CELseq2	GSE85241	D28.2_63
D28	2_64	CELseq2	GSE85241	D28.2_64
D28	2_65	CELseq2	GSE85241	D28.2_65
D28	2_66	CELseq2	GSE85241	D28.2_66
D28	2_67	CELseq2	GSE85241	D28.2_67
D28	2_68	CELseq2	GSE85241	D28.2_68
D28	2_69	CELseq2	GSE85241	D28.2_69
D28	2_70	CELseq2	GSE85241	D28.2_70
D28	2_71	CELseq2	GSE85241	D28.2_71
D28	2_72	CELseq2	GSE85241	D28.2_72
D28	2_73	CELseq2	GSE85241	D28.2_73
D28	2_74	CELseq2	GSE85241	D28.2_74
D28	2_75	CELseq2	GSE85241	D28.2_75
D28	2_76	CELseq2	GSE85241	D28.2_76
D28	2_77	CELseq2	GSE85241	D28.2_77
D28	2_78	CELseq2	GSE85241	D28.2_78
D28	2_79	CELseq2	GSE85241	D28.2_79
D28	2_80	CELseq2	GSE85241	D28.2_80
D28	2_81	CELseq2	GSE85241	D28.2_81
D28	2_82	CELseq2	GSE85241	D28.2_82
D28	2_83	CELseq2	GSE85241	D28.2_83
D28	2_84	CELseq2	GSE85241	D28.2_84
D28	2_85	CELseq2	GSE85241	D28.2_85
D28	2_86	CELseq2	GSE85241	D28.2_86
D28	2_87	CELseq2	GSE85241	D28.2_87
D28	2_88	CELseq2	GSE85241	D28.2_88
D28	2_89	CELseq2	GSE85241	D28.2_89
D28	2_90	CELseq2	GSE85241	D28.2_90
D28	2_91	CELseq2	GSE85241	D28.2_91
D28	2_92	CELseq2	GSE85241	D28.2_92
D28	2_93	CELseq2	GSE85241	D28.2_93
D28	2_94	CELseq2	GSE85241	D28.2_94
D28	2_95	CELseq2	GSE85241	D28.2_95
D28	2_96	CELseq2	GSE85241	D28.2_96
D28	3_1	CELseq2	GSE85241	D28.3_1
D28	3_2	CELseq2	GSE85241	D28.3_2
D28	3_3	CELseq2	GSE85241	D28.3_3
D28	3_4	CELseq2	GSE85241	D28.3_4
D28	3_5	CELseq2	GSE85241	D28.3_5
D28	3_6	CELseq2	GSE85241	D28.3_6
D28	3_7	CELseq2	GSE85241	D28.3_7
D28	3_8	CELseq2	GSE85241	D28.3_8
D28	3_9	CELseq2	GSE85241	D28.3_9
D28	3_10	CELseq2	GSE85241	D28.3_10
D28	3_11	CELseq2	GSE85241	D28.3_11
D28	3_12	CELseq2	GSE85241	D28.3_12
D28	3_13	CELseq2	GSE85241	D28.3_13
D28	3_14	CELseq2	GSE85241	D28.3_14
D28	3_15	CELseq2	GSE85241	D28.3_15
D28	3_16	CELseq2	GSE85241	D28.3_16
D28	3_17	CELseq2	GSE85241	D28.3_17
D28	3_18	CELseq2	GSE85241	D28.3_18
D28	3_19	CELseq2	GSE85241	D28.3_19
D28	3_20	CELseq2	GSE85241	D28.3_20
D28	3_21	CELseq2	GSE85241	D28.3_21
D28	3_22	CELseq2	GSE85241	D28.3_22
D28	3_23	CELseq2	GSE85241	D28.3_23
D28	3_24	CELseq2	GSE85241	D28.3_24
D28	3_25	CELseq2	GSE85241	D28.3_25
D28	3_26	CELseq2	GSE85241	D28.3_26
D28	3_27	CELseq2	GSE85241	D28.3_27
D28	3_28	CELseq2	GSE85241	D28.3_28
D28	3_29	CELseq2	GSE85241	D28.3_29
D28	3_30	CELseq2	GSE85241	D28.3_30
D28	3_31	CELseq2	GSE85241	D28.3_31
D28	3_32	CELseq2	GSE85241	D28.3_32
D28	3_33	CELseq2	GSE85241	D28.3_33
D28	3_34	CELseq2	GSE85241	D28.3_34
D28	3_35	CELseq2	GSE85241	D28.3_35
D28	3_36	CELseq2	GSE85241	D28.3_36
D28	3_37	CELseq2	GSE85241	D28.3_37
D28	3_38	CELseq2	GSE85241	D28.3_38
D28	3_39	CELseq2	GSE85241	D28.3_39
D28	3_40	CELseq2	GSE85241	D28.3_40
D28	3_41	CELseq2	GSE85241	D28.3_41
D28	3_42	CELseq2	GSE85241	D28.3_42
D28	3_43	CELseq2	GSE85241	D28.3_43
D28	3_44	CELseq2	GSE85241	D28.3_44
D28	3_45	CELseq2	GSE85241	D28.3_45
D28	3_46	CELseq2	GSE85241	D28.3_46
D28	3_47	CELseq2	GSE85241	D28.3_47
D28	3_48	CELseq2	GSE85241	D28.3_48
D28	3_49	CELseq2	GSE85241	D28.3_49
D28	3_50	CELseq2	GSE85241	D28.3_50
D28	3_51	CELseq2	GSE85241	D28.3_51
D28	3_52	CELseq2	GSE85241	D28.3_52
D28	3_53	CELseq2	GSE85241	D28.3_53
D28	3_54	CELseq2	GSE85241	D28.3_54
D28	3_55	CELseq2	GSE85241	D28.3_55
D28	3_56	CELseq2	GSE85241	D28.3_56
D28	3_57	CELseq2	GSE85241	D28.3_57
D28	3_58	CELseq2	GSE85241	D28.3_58
D28	3_59	CELseq2	GSE85241	D28.3_59
D28	3_60	CELseq2	GSE85241	D28.3_60
D28	3_61	CELseq2	GSE85241	D28.3_61
D28	3_62	CELseq2	GSE85241	D28.3_62
D28	3_63	CELseq2	GSE85241	D28.3_63
D28	3_64	CELseq2	GSE85241	D28.3_64
D28	3_65	CELseq2	GSE85241	D28.3_65
D28	3_66	CELseq2	GSE85241	D28.3_66
D28	3_67	CELseq2	GSE85241	D28.3_67
D28	3_68	CELseq2	GSE85241	D28.3_68
D28	3_69	CELseq2	GSE85241	D28.3_69
D28	3_70	CELseq2	GSE85241	D28.3_70
D28	3_71	CELseq2	GSE85241	D28.3_71
D28	3_72	CELseq2	GSE85241	D28.3_72
D28	3_73	CELseq2	GSE85241	D28.3_73
D28	3_74	CELseq2	GSE85241	D28.3_74
D28	3_75	CELseq2	GSE85241	D28.3_75
D28	3_76	CELseq2	GSE85241	D28.3_76
D28	3_77	CELseq2	GSE85241	D28.3_77
D28	3_78	CELseq2	GSE85241	D28.3_78
D28	3_79	CELseq2	GSE85241	D28.3_79
D28	3_80	CELseq2	GSE85241	D28.3_80
D28	3_81	CELseq2	GSE85241	D28.3_81
D28	3_82	CELseq2	GSE85241	D28.3_82
D28	3_83	CELseq2	GSE85241	D28.3_83
D28	3_84	CELseq2	GSE85241	D28.3_84
D28	3_85	CELseq2	GSE85241	D28.3_85
D28	3_86	CELseq2	GSE85241	D28.3_86
D28	3_87	CELseq2	GSE85241	D28.3_87
D28	3_88	CELseq2	GSE85241	D28.3_88
D28	3_89	CELseq2	GSE85241	D28.3_89
D28	3_90	CELseq2	GSE85241	D28.3_90
D28	3_91	CELseq2	GSE85241	D28.3_91
D28	3_92	CELseq2	GSE85241	D28.3_92
D28	3_93	CELseq2	GSE85241	D28.3_93
D28	3_94	CELseq2	GSE85241	D28.3_94
D28	3_95	CELseq2	GSE85241	D28.3_95
D28	3_96	CELseq2	GSE85241	D28.3_96
D28	4_1	CELseq2	GSE85241	D28.4_1
D28	4_2	CELseq2	GSE85241	D28.4_2
D28	4_3	CELseq2	GSE85241	D28.4_3
D28	4_4	CELseq2	GSE85241	D28.4_4
D28	4_5	CELseq2	GSE85241	D28.4_5
D28	4_6	CELseq2	GSE85241	D28.4_6
D28	4_7	CELseq2	GSE85241	D28.4_7
D28	4_8	CELseq2	GSE85241	D28.4_8
D28	4_9	CELseq2	GSE85241	D28.4_9
D28	4_10	CELseq2	GSE85241	D28.4_10
D28	4_11	CELseq2	GSE85241	D28.4_11
D28	4_12	CELseq2	GSE85241	D28.4_12
D28	4_13	CELseq2	GSE85241	D28.4_13
D28	4_14	CELseq2	GSE85241	D28.4_14
D28	4_15	CELseq2	GSE85241	D28.4_15
D28	4_16	CELseq2	GSE85241	D28.4_16
D28	4_17	CELseq2	GSE85241	D28.4_17
D28	4_18	CELseq2	GSE85241	D28.4_18
D28	4_19	CELseq2	GSE85241	D28.4_19
D28	4_20	CELseq2	GSE85241	D28.4_20
D28	4_21	CELseq2	GSE85241	D28.4_21
D28	4_22	CELseq2	GSE85241	D28.4_22
D28	4_23	CELseq2	GSE85241	D28.4_23
D28	4_24	CELseq2	GSE85241	D28.4_24
D28	4_25	CELseq2	GSE85241	D28.4_25
D28	4_26	CELseq2	GSE85241	D28.4_26
D28	4_27	CELseq2	GSE85241	D28.4_27
D28	4_28	CELseq2	GSE85241	D28.4_28
D28	4_29	CELseq2	GSE85241	D28.4_29
D28	4_30	CELseq2	GSE85241	D28.4_30
D28	4_31	CELseq2	GSE85241	D28.4_31
D28	4_32	CELseq2	GSE85241	D28.4_32
D28	4_33	CELseq2	GSE85241	D28.4_33
D28	4_34	CELseq2	GSE85241	D28.4_34
D28	4_35	CELseq2	GSE85241	D28.4_35
D28	4_36	CELseq2	GSE85241	D28.4_36
D28	4_37	CELseq2	GSE85241	D28.4_37
D28	4_38	CELseq2	GSE85241	D28.4_38
D28	4_39	CELseq2	GSE85241	D28.4_39
D28	4_40	CELseq2	GSE85241	D28.4_40
D28	4_41	CELseq2	GSE85241	D28.4_41
D28	4_42	CELseq2	GSE85241	D28.4_42
D28	4_43	CELseq2	GSE85241	D28.4_43
D28	4_44	CELseq2	GSE85241	D28.4_44
D28	4_45	CELseq2	GSE85241	D28.4_45
D28	4_46	CELseq2	GSE85241	D28.4_46
D28	4_47	CELseq2	GSE85241	D28.4_47
D28	4_48	CELseq2	GSE85241	D28.4_48
D28	4_49	CELseq2	GSE85241	D28.4_49
D28	4_50	CELseq2	GSE85241	D28.4_50
D28	4_51	CELseq2	GSE85241	D28.4_51
D28	4_52	CELseq2	GSE85241	D28.4_52
D28	4_53	CELseq2	GSE85241	D28.4_53
D28	4_54	CELseq2	GSE85241	D28.4_54
D28	4_55	CELseq2	GSE85241	D28.4_55
D28	4_56	CELseq2	GSE85241	D28.4_56
D28	4_57	CELseq2	GSE85241	D28.4_57
D28	4_58	CELseq2	GSE85241	D28.4_58
D28	4_59	CELseq2	GSE85241	D28.4_59
D28	4_60	CELseq2	GSE85241	D28.4_60
D28	4_61	CELseq2	GSE85241	D28.4_61
D28	4_62	CELseq2	GSE85241	D28.4_62
D28	4_63	CELseq2	GSE85241	D28.4_63
D28	4_64	CELseq2	GSE85241	D28.4_64
D28	4_65	CELseq2	GSE85241	D28.4_65
D28	4_66	CELseq2	GSE85241	D28.4_66
D28	4_67	CELseq2	GSE85241	D28.4_67
D28	4_68	CELseq2	GSE85241	D28.4_68
D28	4_69	CELseq2	GSE85241	D28.4_69
D28	4_70	CELseq2	GSE85241	D28.4_70
D28	4_71	CELseq2	GSE85241	D28.4_71
D28	4_72	CELseq2	GSE85241	D28.4_72
D28	4_73	CELseq2	GSE85241	D28.4_73
D28	4_74	CELseq2	GSE85241	D28.4_74
D28	4_75	CELseq2	GSE85241	D28.4_75
D28	4_76	CELseq2	GSE85241	D28.4_76
D28	4_77	CELseq2	GSE85241	D28.4_77
D28	4_78	CELseq2	GSE85241	D28.4_78
D28	4_79	CELseq2	GSE85241	D28.4_79
D28	4_80	CELseq2	GSE85241	D28.4_80
D28	4_81	CELseq2	GSE85241	D28.4_81
D28	4_82	CELseq2	GSE85241	D28.4_82
D28	4_83	CELseq2	GSE85241	D28.4_83
D28	4_84	CELseq2	GSE85241	D28.4_84
D28	4_85	CELseq2	GSE85241	D28.4_85
D28	4_86	CELseq2	GSE85241	D28.4_86
D28	4_87	CELseq2	GSE85241	D28.4_87
D28	4_88	CELseq2	GSE85241	D28.4_88
D28	4_89	CELseq2	GSE85241	D28.4_89
D28	4_90	CELseq2	GSE85241	D28.4_90
D28	4_91	CELseq2	GSE85241	D28.4_91
D28	4_92	CELseq2	GSE85241	D28.4_92
D28	4_93	CELseq2	GSE85241	D28.4_93
D28	4_94	CELseq2	GSE85241	D28.4_94
D28	4_95	CELseq2	GSE85241	D28.4_95
D28	4_96	CELseq2	GSE85241	D28.4_96
D28	5_1	CELseq2	GSE85241	D28.5_1
D28	5_2	CELseq2	GSE85241	D28.5_2
D28	5_3	CELseq2	GSE85241	D28.5_3
D28	5_4	CELseq2	GSE85241	D28.5_4
D28	5_5	CELseq2	GSE85241	D28.5_5
D28	5_6	CELseq2	GSE85241	D28.5_6
D28	5_7	CELseq2	GSE85241	D28.5_7
D28	5_8	CELseq2	GSE85241	D28.5_8
D28	5_9	CELseq2	GSE85241	D28.5_9
D28	5_10	CELseq2	GSE85241	D28.5_10
D28	5_11	CELseq2	GSE85241	D28.5_11
D28	5_12	CELseq2	GSE85241	D28.5_12
D28	5_13	CELseq2	GSE85241	D28.5_13
D28	5_14	CELseq2	GSE85241	D28.5_14
D28	5_15	CELseq2	GSE85241	D28.5_15
D28	5_16	CELseq2	GSE85241	D28.5_16
D28	5_17	CELseq2	GSE85241	D28.5_17
D28	5_18	CELseq2	GSE85241	D28.5_18
D28	5_19	CELseq2	GSE85241	D28.5_19
D28	5_20	CELseq2	GSE85241	D28.5_20
D28	5_21	CELseq2	GSE85241	D28.5_21
D28	5_22	CELseq2	GSE85241	D28.5_22
D28	5_23	CELseq2	GSE85241	D28.5_23
D28	5_24	CELseq2	GSE85241	D28.5_24
D28	5_25	CELseq2	GSE85241	D28.5_25
D28	5_26	CELseq2	GSE85241	D28.5_26
D28	5_27	CELseq2	GSE85241	D28.5_27
D28	5_28	CELseq2	GSE85241	D28.5_28
D28	5_29	CELseq2	GSE85241	D28.5_29
D28	5_30	CELseq2	GSE85241	D28.5_30
D28	5_31	CELseq2	GSE85241	D28.5_31
D28	5_32	CELseq2	GSE85241	D28.5_32
D28	5_33	CELseq2	GSE85241	D28.5_33
D28	5_34	CELseq2	GSE85241	D28.5_34
D28	5_35	CELseq2	GSE85241	D28.5_35
D28	5_36	CELseq2	GSE85241	D28.5_36
D28	5_37	CELseq2	GSE85241	D28.5_37
D28	5_38	CELseq2	GSE85241	D28.5_38
D28	5_39	CELseq2	GSE85241	D28.5_39
D28	5_40	CELseq2	GSE85241	D28.5_40
D28	5_41	CELseq2	GSE85241	D28.5_41
D28	5_42	CELseq2	GSE85241	D28.5_42
D28	5_43	CELseq2	GSE85241	D28.5_43
D28	5_44	CELseq2	GSE85241	D28.5_44
D28	5_45	CELseq2	GSE85241	D28.5_45
D28	5_46	CELseq2	GSE85241	D28.5_46
D28	5_47	CELseq2	GSE85241	D28.5_47
D28	5_48	CELseq2	GSE85241	D28.5_48
D28	5_49	CELseq2	GSE85241	D28.5_49
D28	5_50	CELseq2	GSE85241	D28.5_50
D28	5_51	CELseq2	GSE85241	D28.5_51
D28	5_52	CELseq2	GSE85241	D28.5_52
D28	5_53	CELseq2	GSE85241	D28.5_53
D28	5_54	CELseq2	GSE85241	D28.5_54
D28	5_55	CELseq2	GSE85241	D28.5_55
D28	5_56	CELseq2	GSE85241	D28.5_56
D28	5_57	CELseq2	GSE85241	D28.5_57
D28	5_58	CELseq2	GSE85241	D28.5_58
D28	5_59	CELseq2	GSE85241	D28.5_59
D28	5_60	CELseq2	GSE85241	D28.5_60
D28	5_61	CELseq2	GSE85241	D28.5_61
D28	5_62	CELseq2	GSE85241	D28.5_62
D28	5_63	CELseq2	GSE85241	D28.5_63
D28	5_64	CELseq2	GSE85241	D28.5_64
D28	5_65	CELseq2	GSE85241	D28.5_65
D28	5_66	CELseq2	GSE85241	D28.5_66
D28	5_67	CELseq2	GSE85241	D28.5_67
D28	5_68	CELseq2	GSE85241	D28.5_68
D28	5_69	CELseq2	GSE85241	D28.5_69
D28	5_70	CELseq2	GSE85241	D28.5_70
D28	5_71	CELseq2	GSE85241	D28.5_71
D28	5_72	CELseq2	GSE85241	D28.5_72
D28	5_73	CELseq2	GSE85241	D28.5_73
D28	5_74	CELseq2	GSE85241	D28.5_74
D28	5_75	CELseq2	GSE85241	D28.5_75
D28	5_76	CELseq2	GSE85241	D28.5_76
D28	5_77	CELseq2	GSE85241	D28.5_77
D28	5_78	CELseq2	GSE85241	D28.5_78
D28	5_79	CELseq2	GSE85241	D28.5_79
D28	5_80	CELseq2	GSE85241	D28.5_80
D28	5_81	CELseq2	GSE85241	D28.5_81
D28	5_82	CELseq2	GSE85241	D28.5_82
D28	5_83	CELseq2	GSE85241	D28.5_83
D28	5_84	CELseq2	GSE85241	D28.5_84
D28	5_85	CELseq2	GSE85241	D28.5_85
D28	5_86	CELseq2	GSE85241	D28.5_86
D28	5_87	CELseq2	GSE85241	D28.5_87
D28	5_88	CELseq2	GSE85241	D28.5_88
D28	5_89	CELseq2	GSE85241	D28.5_89
D28	5_90	CELseq2	GSE85241	D28.5_90
D28	5_91	CELseq2	GSE85241	D28.5_91
D28	5_92	CELseq2	GSE85241	D28.5_92
D28	5_93	CELseq2	GSE85241	D28.5_93
D28	5_94	CELseq2	GSE85241	D28.5_94
D28	5_95	CELseq2	GSE85241	D28.5_95
D28	5_96	CELseq2	GSE85241	D28.5_96
D28	6_1	CELseq2	GSE85241	D28.6_1
D28	6_2	CELseq2	GSE85241	D28.6_2
D28	6_3	CELseq2	GSE85241	D28.6_3
D28	6_4	CELseq2	GSE85241	D28.6_4
D28	6_5	CELseq2	GSE85241	D28.6_5
D28	6_6	CELseq2	GSE85241	D28.6_6
D28	6_7	CELseq2	GSE85241	D28.6_7
D28	6_8	CELseq2	GSE85241	D28.6_8
D28	6_9	CELseq2	GSE85241	D28.6_9
D28	6_10	CELseq2	GSE85241	D28.6_10
D28	6_11	CELseq2	GSE85241	D28.6_11
D28	6_12	CELseq2	GSE85241	D28.6_12
D28	6_13	CELseq2	GSE85241	D28.6_13
D28	6_14	CELseq2	GSE85241	D28.6_14
D28	6_15	CELseq2	GSE85241	D28.6_15
D28	6_16	CELseq2	GSE85241	D28.6_16
D28	6_17	CELseq2	GSE85241	D28.6_17
D28	6_18	CELseq2	GSE85241	D28.6_18
D28	6_19	CELseq2	GSE85241	D28.6_19
D28	6_20	CELseq2	GSE85241	D28.6_20
D28	6_21	CELseq2	GSE85241	D28.6_21
D28	6_22	CELseq2	GSE85241	D28.6_22
D28	6_23	CELseq2	GSE85241	D28.6_23
D28	6_24	CELseq2	GSE85241	D28.6_24
D28	6_25	CELseq2	GSE85241	D28.6_25
D28	6_26	CELseq2	GSE85241	D28.6_26
D28	6_27	CELseq2	GSE85241	D28.6_27
D28	6_28	CELseq2	GSE85241	D28.6_28
D28	6_29	CELseq2	GSE85241	D28.6_29
D28	6_30	CELseq2	GSE85241	D28.6_30
D28	6_31	CELseq2	GSE85241	D28.6_31
D28	6_32	CELseq2	GSE85241	D28.6_32
D28	6_33	CELseq2	GSE85241	D28.6_33
D28	6_34	CELseq2	GSE85241	D28.6_34
D28	6_35	CELseq2	GSE85241	D28.6_35
D28	6_36	CELseq2	GSE85241	D28.6_36
D28	6_37	CELseq2	GSE85241	D28.6_37
D28	6_38	CELseq2	GSE85241	D28.6_38
D28	6_39	CELseq2	GSE85241	D28.6_39
D28	6_40	CELseq2	GSE85241	D28.6_40
D28	6_41	CELseq2	GSE85241	D28.6_41
D28	6_42	CELseq2	GSE85241	D28.6_42
D28	6_43	CELseq2	GSE85241	D28.6_43
D28	6_44	CELseq2	GSE85241	D28.6_44
D28	6_45	CELseq2	GSE85241	D28.6_45
D28	6_46	CELseq2	GSE85241	D28.6_46
D28	6_47	CELseq2	GSE85241	D28.6_47
D28	6_48	CELseq2	GSE85241	D28.6_48
D28	6_49	CELseq2	GSE85241	D28.6_49
D28	6_50	CELseq2	GSE85241	D28.6_50
D28	6_51	CELseq2	GSE85241	D28.6_51
D28	6_52	CELseq2	GSE85241	D28.6_52
D28	6_53	CELseq2	GSE85241	D28.6_53
D28	6_54	CELseq2	GSE85241	D28.6_54
D28	6_55	CELseq2	GSE85241	D28.6_55
D28	6_56	CELseq2	GSE85241	D28.6_56
